Sentences,Date,Trans_Ind,GL_Simpson_Dates_Ind,SU_TME_Update_ALL,HEIDEL_TME_Update,GL_ISO_DATES_CONVERSION,GL_ISO_DATES_SENT_CONVERSION,Anchor_Date,Anchor_Type,Tags_Clean,GL_TAGS_DATES_CORRECTED,date_binary,Has_Date,Has_DTE_GL,Has_DTE_CTN_GL,Has_DTE_REL_GL,Has_DTE_DUR,Has_DTE_UNCERTN,Has_DTE_CREF,Has_DTE_SET,Has_DTE_OTHER,Has_Age,GL_NER_Test,GL_Date_Norm_Test,Official_Test_NER,Test_NER_Unused,GL_NER
I don't remember if that was asked or not.,5/30/1995,224374,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Do you recall being asked whether it was normal in your experience at the SID to receive a reference sample envelope that was not sealed?,5/30/1995,224375,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: I might have been asked--you want me to just answer the question?,5/30/1995,224376,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: I'm asking if you recall saying that on direct.,5/30/1995,224377,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, if I was asked that question, I would say it's not normal, but it's not out of the ordinary or extraordinary.",5/30/1995,224378,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Well, my first question to you is, do you recall testifying--being asked that question, questions to that effect on direct examination and giving answers about whether it was normal to receive an unsealed envelope with a blood vial?",5/30/1995,224379,,,,,,,,"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['0'],1.0,,,,,,,,,,1,0,0,1,
"MR. YAMAUCHI: Somewhere along those lines, it sounds familiar, but I can't be sure if that was asked in exactly that fashion or not.",5/30/1995,224380,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Do you recall discussing with Mr. Harmon or Mr. Goldberg or any of the Prosecutors the issue of the blood vial, the envelope not being sealed?",5/30/1995,224381,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224382,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: How long were those discussions?,5/30/1995,224383,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Not very long at all.,5/30/1995,224384,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"They--they asked me if it was or was not, and I told them no, it wasn't.",5/30/1995,224385,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
They asked me if-- MR. SCHECK: Excuse me.,5/30/1995,224386,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"You said no, it wasn't?",5/30/1995,224387,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. HARMON: Your Honor, this is about the hundredth time today.",5/30/1995,224388,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Yes.,5/30/1995,224389,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Mr. Scheck?,5/30/1995,224390,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: I'm sorry.,5/30/1995,224391,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I'm sorry.,5/30/1995,224392,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: It is at least the 10th time.,5/30/1995,224393,,,,,,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O']",,['0'],1.0,,,,,,,,,,1,0,1,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O']"
"There won't be an 11th, will there?",5/30/1995,224394,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Your Honor, my apologies, but I'm-- THE COURT: Proceed.",5/30/1995,224395,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: I'm allowed to object when the answer is not responsive.,5/30/1995,224396,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"THE COURT: You are, but you're not allowed to interrupt the witness when he's testifying.",5/30/1995,224397,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: You go ahead, Mr. Yamauchi.",5/30/1995,224398,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Okay.,5/30/1995,224399,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Where was I?,5/30/1995,224400,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
